station_name,hour_of_day,day_of_week,day_name,num_trains,crowd_score,crowd_level,transfer_congestion_risk,peak_slot
Howrah Jn,15,2,Wed,18,59.7,High,High,No
Howrah Jn,16,2,Wed,18,64.0,High,High,No
Howrah Jn,17,2,Wed,18,69.1,High,High,Yes
Howrah Jn,18,2,Wed,18,72.8,High,High,Yes
Howrah Jn,19,2,Wed,18,72.8,High,High,Yes
Howrah Jn,20,2,Wed,18,71.3,High,High,Yes
Howrah Jn,21,2,Wed,18,66.9,High,High,No
Howrah Jn,22,2,Wed,18,58.2,High,Moderate,No
Howrah Jn,23,2,Wed,18,47.3,Moderate,Moderate,No
Howrah Jn,0,3,Thu,18,41.4,Moderate,Moderate,No
Howrah Jn,1,3,Thu,18,37.7,Moderate,Moderate,No
Howrah Jn,2,3,Thu,18,36.2,Moderate,Moderate,No
Howrah Jn,3,3,Thu,18,37.7,Moderate,Moderate,No
Howrah Jn,4,3,Thu,18,41.4,Moderate,Moderate,No
Howrah Jn,5,3,Thu,18,52.7,Moderate,Moderate,No
Howrah Jn,6,3,Thu,18,64.0,High,Moderate,No
Howrah Jn,7,3,Thu,18,71.6,High,High,Yes
Howrah Jn,8,3,Thu,18,67.8,High,High,Yes
Howrah Jn,9,3,Thu,18,60.3,High,High,Yes
Howrah Jn,10,3,Thu,18,56.5,High,High,No
Howrah Jn,11,3,Thu,18,58.8,High,High,No
Howrah Jn,12,3,Thu,18,61.8,High,High,No
Howrah Jn,13,3,Thu,18,60.3,High,High,No
Howrah Jn,14,3,Thu,18,58.8,High,High,No
Howrah Jn,15,3,Thu,18,61.8,High,High,No
Howrah Jn,16,3,Thu,18,66.3,High,High,No
Howrah Jn,17,3,Thu,18,71.6,High,High,Yes
Howrah Jn,18,3,Thu,18,75.3,Overcrowded,High,Yes
Howrah Jn,19,3,Thu,18,75.3,Overcrowded,High,Yes
Howrah Jn,20,3,Thu,18,73.8,High,High,Yes
Howrah Jn,21,3,Thu,18,69.3,High,High,No
Howrah Jn,22,3,Thu,18,60.3,High,Moderate,No
Howrah Jn,23,3,Thu,18,49.0,Moderate,Moderate,No
Howrah Jn,0,4,Fri,18,49.4,Moderate,Moderate,No
Howrah Jn,1,4,Fri,18,44.9,Moderate,Moderate,No
Howrah Jn,2,4,Fri,18,43.1,Moderate,Moderate,No
Howrah Jn,3,4,Fri,18,44.9,Moderate,Moderate,No
Howrah Jn,4,4,Fri,18,49.4,Moderate,Moderate,No
Howrah Jn,5,4,Fri,18,62.9,High,Moderate,No
Howrah Jn,6,4,Fri,18,76.4,Overcrowded,Moderate,No
Howrah Jn,7,4,Fri,18,85.4,Overcrowded,High,Yes
Howrah Jn,8,4,Fri,18,80.9,Overcrowded,High,Yes
Howrah Jn,9,4,Fri,18,71.9,High,High,Yes
Howrah Jn,10,4,Fri,18,67.4,High,High,No
Howrah Jn,11,4,Fri,18,70.1,High,High,No
Howrah Jn,12,4,Fri,18,73.7,High,High,No
Howrah Jn,13,4,Fri,18,71.9,High,High,No
Howrah Jn,14,4,Fri,18,70.1,High,High,No
Howrah Jn,15,4,Fri,18,73.7,High,High,No
Howrah Jn,16,4,Fri,18,79.1,Overcrowded,High,No
Howrah Jn,17,4,Fri,18,85.4,Overcrowded,High,Yes
Howrah Jn,18,4,Fri,18,89.9,Overcrowded,High,Yes
Howrah Jn,19,4,Fri,18,89.9,Overcrowded,High,Yes
Howrah Jn,20,4,Fri,18,88.1,Overcrowded,High,Yes
Howrah Jn,21,4,Fri,18,82.7,Overcrowded,High,No
Howrah Jn,22,4,Fri,18,71.9,High,Moderate,No
Howrah Jn,23,4,Fri,18,58.4,High,Moderate,No
Howrah Jn,0,5,Sat,18,61.2,High,Moderate,No
Howrah Jn,1,5,Sat,18,55.6,High,Moderate,No
Howrah Jn,2,5,Sat,18,53.4,Moderate,Moderate,No
Howrah Jn,3,5,Sat,18,55.6,High,Moderate,No
Howrah Jn,4,5,Sat,18,61.2,High,Moderate,No
Howrah Jn,5,5,Sat,18,77.9,Overcrowded,Moderate,No
Howrah Jn,6,5,Sat,18,94.6,Overcrowded,Moderate,No
Howrah Jn,7,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,8,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,9,5,Sat,18,89.0,Overcrowded,High,Yes
Howrah Jn,10,5,Sat,18,83.5,Overcrowded,High,No
Howrah Jn,11,5,Sat,18,86.8,Overcrowded,High,No
Howrah Jn,12,5,Sat,18,91.2,Overcrowded,High,No
Howrah Jn,13,5,Sat,18,89.0,Overcrowded,High,No
Howrah Jn,14,5,Sat,18,86.8,Overcrowded,High,No
Howrah Jn,15,5,Sat,18,91.2,Overcrowded,High,No
Howrah Jn,16,5,Sat,18,97.9,Overcrowded,High,No
Howrah Jn,17,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,18,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,19,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,20,5,Sat,18,100.0,Overcrowded,High,Yes
Howrah Jn,21,5,Sat,18,100.0,Overcrowded,High,No
Howrah Jn,22,5,Sat,18,89.0,Overcrowded,Moderate,No
Howrah Jn,23,5,Sat,18,72.3,High,Moderate,No
Howrah Jn,0,6,Sun,18,63.6,High,Moderate,No
Howrah Jn,1,6,Sun,18,57.8,High,Moderate,No
Howrah Jn,2,6,Sun,18,55.5,High,Moderate,No
Howrah Jn,3,6,Sun,18,57.8,High,Moderate,No
Howrah Jn,4,6,Sun,18,63.6,High,Moderate,No
Howrah Jn,5,6,Sun,18,80.9,Overcrowded,Moderate,No
Howrah Jn,6,6,Sun,18,98.2,Overcrowded,Moderate,No
Howrah Jn,7,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,8,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,9,6,Sun,18,92.4,Overcrowded,High,Yes
Howrah Jn,10,6,Sun,18,86.7,Overcrowded,High,No
Howrah Jn,11,6,Sun,18,90.1,Overcrowded,High,No
Howrah Jn,12,6,Sun,18,94.8,Overcrowded,High,No
Howrah Jn,13,6,Sun,18,92.4,Overcrowded,High,No
Howrah Jn,14,6,Sun,18,90.1,Overcrowded,High,No
Howrah Jn,15,6,Sun,18,94.8,Overcrowded,High,No
Howrah Jn,16,6,Sun,18,100.0,Overcrowded,High,No
Howrah Jn,17,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,18,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,19,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,20,6,Sun,18,100.0,Overcrowded,High,Yes
Howrah Jn,21,6,Sun,18,100.0,Overcrowded,High,No
Howrah Jn,22,6,Sun,18,92.4,Overcrowded,Moderate,No
Howrah Jn,23,6,Sun,18,75.1,Overcrowded,Moderate,No
Bhusaval Jn,0,0,Mon,6,28.9,Low,Moderate,No
Bhusaval Jn,1,0,Mon,6,26.2,Low,Moderate,No
Bhusaval Jn,2,0,Mon,6,25.2,Low,Moderate,No
Bhusaval Jn,3,0,Mon,6,26.2,Low,Moderate,No
Bhusaval Jn,4,0,Mon,6,28.9,Low,Moderate,No
Bhusaval Jn,5,0,Mon,6,36.7,Moderate,Moderate,No
Bhusaval Jn,6,0,Mon,6,44.6,Moderate,Moderate,No
Bhusaval Jn,7,0,Mon,6,49.8,Moderate,Moderate,Yes
Bhusaval Jn,8,0,Mon,6,47.2,Moderate,Moderate,Yes
Bhusaval Jn,9,0,Mon,6,42.0,Moderate,Moderate,Yes
Bhusaval Jn,10,0,Mon,6,39.4,Moderate,Moderate,No
Bhusaval Jn,11,0,Mon,6,40.9,Moderate,Moderate,No
Bhusaval Jn,12,0,Mon,6,43.0,Moderate,Moderate,No
Bhusaval Jn,13,0,Mon,6,42.0,Moderate,Moderate,No
Bhusaval Jn,14,0,Mon,6,40.9,Moderate,Moderate,No
Bhusaval Jn,15,0,Mon,6,43.0,Moderate,Moderate,No
Bhusaval Jn,16,0,Mon,6,46.2,Moderate,Moderate,No
Bhusaval Jn,17,0,Mon,6,49.8,Moderate,Moderate,Yes
Bhusaval Jn,18,0,Mon,6,52.5,Moderate,Moderate,Yes
Bhusaval Jn,19,0,Mon,6,52.5,Moderate,Moderate,Yes
Bhusaval Jn,20,0,Mon,6,51.4,Moderate,Moderate,Yes
Bhusaval Jn,21,0,Mon,6,48.3,Moderate,Moderate,No
Bhusaval Jn,22,0,Mon,6,42.0,Moderate,Moderate,No
Bhusaval Jn,23,0,Mon,6,34.1,Low,Moderate,No
Bhusaval Jn,0,1,Tue,6,23.6,Low,Moderate,No
Bhusaval Jn,1,1,Tue,6,21.5,Low,Moderate,No
Bhusaval Jn,2,1,Tue,6,20.6,Low,Moderate,No
Bhusaval Jn,3,1,Tue,6,21.5,Low,Moderate,No
Bhusaval Jn,4,1,Tue,6,23.6,Low,Moderate,No
Bhusaval Jn,5,1,Tue,6,30.1,Low,Moderate,No
Bhusaval Jn,6,1,Tue,6,36.5,Moderate,Moderate,No
Bhusaval Jn,7,1,Tue,6,40.8,Moderate,Moderate,Yes
Bhusaval Jn,8,1,Tue,6,38.6,Moderate,Moderate,Yes
Bhusaval Jn,9,1,Tue,6,34.3,Low,Moderate,Yes
Bhusaval Jn,10,1,Tue,6,32.2,Low,Moderate,No
Bhusaval Jn,11,1,Tue,6,33.5,Low,Moderate,No
Bhusaval Jn,12,1,Tue,6,35.2,Moderate,Moderate,No
Bhusaval Jn,13,1,Tue,6,34.3,Low,Moderate,No
Bhusaval Jn,14,1,Tue,6,33.5,Low,Moderate,No
Bhusaval Jn,15,1,Tue,6,35.2,Moderate,Moderate,No
Bhusaval Jn,16,1,Tue,6,37.8,Moderate,Moderate,No
Bhusaval Jn,17,1,Tue,6,40.8,Moderate,Moderate,Yes
Bhusaval Jn,18,1,Tue,6,42.9,Moderate,Moderate,Yes
Bhusaval Jn,19,1,Tue,6,42.9,Moderate,Moderate,Yes
Bhusaval Jn,20,1,Tue,6,42.1,Moderate,Moderate,Yes
Bhusaval Jn,21,1,Tue,6,39.5,Moderate,Moderate,No
Bhusaval Jn,22,1,Tue,6,34.3,Low,Moderate,No
Bhusaval Jn,23,1,Tue,6,27.9,Low,Moderate,No
Bhusaval Jn,0,2,Wed,6,22.3,Low,Moderate,No
Bhusaval Jn,1,2,Wed,6,20.3,Low,Moderate,No
Bhusaval Jn,2,2,Wed,6,19.5,Low,Moderate,No
Bhusaval Jn,3,2,Wed,6,20.3,Low,Moderate,No
Bhusaval Jn,4,2,Wed,6,22.3,Low,Moderate,No
Bhusaval Jn,5,2,Wed,6,28.4,Low,Moderate,No
Bhusaval Jn,6,2,Wed,6,34.5,Low,Moderate,No
Bhusaval Jn,7,2,Wed,6,38.5,Moderate,Moderate,Yes
Bhusaval Jn,8,2,Wed,6,36.5,Moderate,Moderate,Yes
Bhusaval Jn,9,2,Wed,6,32.4,Low,Moderate,Yes
Bhusaval Jn,10,2,Wed,6,30.4,Low,Moderate,No
Bhusaval Jn,11,2,Wed,6,31.6,Low,Moderate,No
Bhusaval Jn,12,2,Wed,6,33.2,Low,Moderate,No
Bhusaval Jn,13,2,Wed,6,32.4,Low,Moderate,No
Bhusaval Jn,14,2,Wed,6,31.6,Low,Moderate,No
Bhusaval Jn,15,2,Wed,6,33.2,Low,Moderate,No
Bhusaval Jn,16,2,Wed,6,35.7,Moderate,Moderate,No
Bhusaval Jn,17,2,Wed,6,38.5,Moderate,Moderate,Yes
Bhusaval Jn,18,2,Wed,6,40.5,Moderate,Moderate,Yes
Bhusaval Jn,19,2,Wed,6,40.5,Moderate,Moderate,Yes
Bhusaval Jn,20,2,Wed,6,39.7,Moderate,Moderate,Yes
Bhusaval Jn,21,2,Wed,6,37.3,Moderate,Moderate,No
Bhusaval Jn,22,2,Wed,6,32.4,Low,Moderate,No
Bhusaval Jn,23,2,Wed,6,26.4,Low,Moderate,No
Bhusaval Jn,0,3,Thu,6,23.1,Low,Moderate,No
Bhusaval Jn,1,3,Thu,6,21.0,Low,Moderate,No
Bhusaval Jn,2,3,Thu,6,20.1,Low,Moderate,No
Bhusaval Jn,3,3,Thu,6,21.0,Low,Moderate,No
Bhusaval Jn,4,3,Thu,6,23.1,Low,Moderate,No
Bhusaval Jn,5,3,Thu,6,29.4,Low,Moderate,No
Bhusaval Jn,6,3,Thu,6,35.7,Moderate,Moderate,No
Bhusaval Jn,7,3,Thu,6,39.9,Moderate,Moderate,Yes
Bhusaval Jn,8,3,Thu,6,37.8,Moderate,Moderate,Yes
Bhusaval Jn,9,3,Thu,6,33.6,Low,Moderate,Yes
Bhusaval Jn,10,3,Thu,6,31.5,Low,Moderate,No
Bhusaval Jn,11,3,Thu,6,32.7,Low,Moderate,No
Bhusaval Jn,12,3,Thu,6,34.4,Low,Moderate,No
Bhusaval Jn,13,3,Thu,6,33.6,Low,Moderate,No
Bhusaval Jn,14,3,Thu,6,32.7,Low,Moderate,No
Bhusaval Jn,15,3,Thu,6,34.4,Low,Moderate,No
Bhusaval Jn,16,3,Thu,6,36.9,Moderate,Moderate,No
Bhusaval Jn,17,3,Thu,6,39.9,Moderate,Moderate,Yes
Bhusaval Jn,18,3,Thu,6,42.0,Moderate,Moderate,Yes
Bhusaval Jn,19,3,Thu,6,42.0,Moderate,Moderate,Yes
Bhusaval Jn,20,3,Thu,6,41.1,Moderate,Moderate,Yes
Bhusaval Jn,21,3,Thu,6,38.6,Moderate,Moderate,No
Bhusaval Jn,22,3,Thu,6,33.6,Low,Moderate,No
Bhusaval Jn,23,3,Thu,6,27.3,Low,Moderate,No
Bhusaval Jn,0,4,Fri,6,27.5,Low,Moderate,No
Bhusaval Jn,1,4,Fri,6,25.0,Low,Moderate,No
Bhusaval Jn,2,4,Fri,6,24.0,Low,Moderate,No
Bhusaval Jn,3,4,Fri,6,25.0,Low,Moderate,No
Bhusaval Jn,4,4,Fri,6,27.5,Low,Moderate,No
Bhusaval Jn,5,4,Fri,6,35.1,Moderate,Moderate,No
Bhusaval Jn,6,4,Fri,6,42.6,Moderate,Moderate,No
Bhusaval Jn,7,4,Fri,6,47.6,Moderate,Moderate,Yes
Bhusaval Jn,8,4,Fri,6,45.1,Moderate,Moderate,Yes
Bhusaval Jn,9,4,Fri,6,40.1,Moderate,Moderate,Yes
Bhusaval Jn,10,4,Fri,6,37.6,Moderate,Moderate,No
Bhusaval Jn,11,4,Fri,6,39.1,Moderate,Moderate,No
Bhusaval Jn,12,4,Fri,6,41.1,Moderate,Moderate,No
Bhusaval Jn,13,4,Fri,6,40.1,Moderate,Moderate,No
Bhusaval Jn,14,4,Fri,6,39.1,Moderate,Moderate,No
Bhusaval Jn,15,4,Fri,6,41.1,Moderate,Moderate,No
Bhusaval Jn,16,4,Fri,6,44.1,Moderate,Moderate,No
Bhusaval Jn,17,4,Fri,6,47.6,Moderate,Moderate,Yes
Bhusaval Jn,18,4,Fri,6,50.1,Moderate,Moderate,Yes
Bhusaval Jn,19,4,Fri,6,50.1,Moderate,Moderate,Yes
Bhusaval Jn,20,4,Fri,6,49.1,Moderate,Moderate,Yes
Bhusaval Jn,21,4,Fri,6,46.1,Moderate,Moderate,No
Bhusaval Jn,22,4,Fri,6,40.1,Moderate,Moderate,No
Bhusaval Jn,23,4,Fri,6,32.6,Low,Moderate,No
Bhusaval Jn,0,5,Sat,6,34.1,Low,Moderate,No
Bhusaval Jn,1,5,Sat,6,31.0,Low,Moderate,No
Bhusaval Jn,2,5,Sat,6,29.8,Low,Moderate,No
Bhusaval Jn,3,5,Sat,6,31.0,Low,Moderate,No
Bhusaval Jn,4,5,Sat,6,34.1,Low,Moderate,No
Bhusaval Jn,5,5,Sat,6,43.4,Moderate,Moderate,No
Bhusaval Jn,6,5,Sat,6,52.7,Moderate,Moderate,No
Bhusaval Jn,7,5,Sat,6,58.9,High,Moderate,Yes
Bhusaval Jn,8,5,Sat,6,55.8,High,Moderate,Yes
Bhusaval Jn,9,5,Sat,6,49.6,Moderate,Moderate,Yes
Bhusaval Jn,10,5,Sat,6,46.5,Moderate,Moderate,No
Bhusaval Jn,11,5,Sat,6,48.4,Moderate,Moderate,No
Bhusaval Jn,12,5,Sat,6,50.8,Moderate,Moderate,No
Bhusaval Jn,13,5,Sat,6,49.6,Moderate,Moderate,No
Bhusaval Jn,14,5,Sat,6,48.4,Moderate,Moderate,No
Bhusaval Jn,15,5,Sat,6,50.8,Moderate,Moderate,No
Bhusaval Jn,16,5,Sat,6,54.6,Moderate,Moderate,No
Bhusaval Jn,17,5,Sat,6,58.9,High,Moderate,Yes
Bhusaval Jn,18,5,Sat,6,62.0,High,Moderate,Yes
Bhusaval Jn,19,5,Sat,6,62.0,High,Moderate,Yes
Bhusaval Jn,20,5,Sat,6,60.8,High,Moderate,Yes
Bhusaval Jn,21,5,Sat,6,57.0,High,Moderate,No
Bhusaval Jn,22,5,Sat,6,49.6,Moderate,Moderate,No
Bhusaval Jn,23,5,Sat,6,40.3,Moderate,Moderate,No
Bhusaval Jn,0,6,Sun,6,35.4,Moderate,Moderate,No
Bhusaval Jn,1,6,Sun,6,32.2,Low,Moderate,No
Bhusaval Jn,2,6,Sun,6,30.9,Low,Moderate,No
Bhusaval Jn,3,6,Sun,6,32.2,Low,Moderate,No
Bhusaval Jn,4,6,Sun,6,35.4,Moderate,Moderate,No
Bhusaval Jn,5,6,Sun,6,45.1,Moderate,Moderate,No
Bhusaval Jn,6,6,Sun,6,54.7,Moderate,Moderate,No
Bhusaval Jn,7,6,Sun,6,61.2,High,Moderate,Yes
Bhusaval Jn,8,6,Sun,6,58.0,High,Moderate,Yes
Bhusaval Jn,9,6,Sun,6,51.5,Moderate,Moderate,Yes
Bhusaval Jn,10,6,Sun,6,48.3,Moderate,Moderate,No
Bhusaval Jn,11,6,Sun,6,50.2,Moderate,Moderate,No
Bhusaval Jn,12,6,Sun,6,52.8,Moderate,Moderate,No
Bhusaval Jn,13,6,Sun,6,51.5,Moderate,Moderate,No
Bhusaval Jn,14,6,Sun,6,50.2,Moderate,Moderate,No
Bhusaval Jn,15,6,Sun,6,52.8,Moderate,Moderate,No
Bhusaval Jn,16,6,Sun,6,56.7,High,Moderate,No
Bhusaval Jn,17,6,Sun,6,61.2,High,Moderate,Yes
Bhusaval Jn,18,6,Sun,6,64.4,High,Moderate,Yes
Bhusaval Jn,19,6,Sun,6,64.4,High,Moderate,Yes
Bhusaval Jn,20,6,Sun,6,63.1,High,Moderate,Yes
Bhusaval Jn,21,6,Sun,6,59.2,High,Moderate,No
Bhusaval Jn,22,6,Sun,6,51.5,Moderate,Moderate,No
Bhusaval Jn,23,6,Sun,6,41.9,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,0,0,Mon,16,45.9,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,1,0,Mon,16,41.7,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,2,0,Mon,16,40.0,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,3,0,Mon,16,41.7,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,4,0,Mon,16,45.9,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,5,0,Mon,16,58.4,High,Moderate,No
Pt Deen Dayal Upadhyay Jn,6,0,Mon,16,70.9,High,Moderate,No
Pt Deen Dayal Upadhyay Jn,7,0,Mon,16,79.2,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,8,0,Mon,16,75.0,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,9,0,Mon,16,66.7,High,High,Yes
Pt Deen Dayal Upadhyay Jn,10,0,Mon,16,62.5,High,High,No
Pt Deen Dayal Upadhyay Jn,11,0,Mon,16,65.0,High,High,No
Pt Deen Dayal Upadhyay Jn,12,0,Mon,16,68.4,High,High,No
Pt Deen Dayal Upadhyay Jn,13,0,Mon,16,66.7,High,High,No
Pt Deen Dayal Upadhyay Jn,14,0,Mon,16,65.0,High,High,No
Pt Deen Dayal Upadhyay Jn,15,0,Mon,16,68.4,High,High,No
Pt Deen Dayal Upadhyay Jn,16,0,Mon,16,73.4,High,High,No
Pt Deen Dayal Upadhyay Jn,17,0,Mon,16,79.2,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,18,0,Mon,16,83.4,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,19,0,Mon,16,83.4,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,20,0,Mon,16,81.7,Overcrowded,High,Yes
Pt Deen Dayal Upadhyay Jn,21,0,Mon,16,76.7,Overcrowded,High,No
Pt Deen Dayal Upadhyay Jn,22,0,Mon,16,66.7,High,Moderate,No
Pt Deen Dayal Upadhyay Jn,23,0,Mon,16,54.2,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,0,1,Tue,16,37.5,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,1,1,Tue,16,34.1,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,2,1,Tue,16,32.7,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,3,1,Tue,16,34.1,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,4,1,Tue,16,37.5,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,5,1,Tue,16,47.8,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,6,1,Tue,16,58.0,High,Moderate,No
Pt Deen Dayal Upadhyay Jn,7,1,Tue,16,64.8,High,High,Yes
Pt Deen Dayal Upadhyay Jn,8,1,Tue,16,61.4,High,High,Yes
Pt Deen Dayal Upadhyay Jn,9,1,Tue,16,54.6,Moderate,High,Yes
Pt Deen Dayal Upadhyay Jn,10,1,Tue,16,51.2,Moderate,High,No
Pt Deen Dayal Upadhyay Jn,11,1,Tue,16,53.2,Moderate,High,No
Pt Deen Dayal Upadhyay Jn,12,1,Tue,16,55.9,High,High,No
Pt Deen Dayal Upadhyay Jn,13,1,Tue,16,54.6,Moderate,High,No
Pt Deen Dayal Upadhyay Jn,14,1,Tue,16,53.2,Moderate,High,No
Pt Deen Dayal Upadhyay Jn,15,1,Tue,16,55.9,High,High,No
Pt Deen Dayal Upadhyay Jn,16,1,Tue,16,60.0,High,High,No
Pt Deen Dayal Upadhyay Jn,17,1,Tue,16,64.8,High,High,Yes
Pt Deen Dayal Upadhyay Jn,18,1,Tue,16,68.2,High,High,Yes
Pt Deen Dayal Upadhyay Jn,19,1,Tue,16,68.2,High,High,Yes
Pt Deen Dayal Upadhyay Jn,20,1,Tue,16,66.9,High,High,Yes
Pt Deen Dayal Upadhyay Jn,21,1,Tue,16,62.8,High,High,No
Pt Deen Dayal Upadhyay Jn,22,1,Tue,16,54.6,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,23,1,Tue,16,44.3,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,0,2,Wed,16,35.4,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,1,2,Wed,16,32.2,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,2,2,Wed,16,30.9,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,3,2,Wed,16,32.2,Low,Moderate,No
Pt Deen Dayal Upadhyay Jn,4,2,Wed,16,35.4,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,5,2,Wed,16,45.1,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,6,2,Wed,16,54.8,Moderate,Moderate,No
Pt Deen Dayal Upadhyay Jn,7,2,Wed,16,61.2,High,High,Yes
Pt Deen Dayal Upadhyay Jn,8,2,Wed,16,58.0,High,High,Yes
