train_number,train_name,source_station,destination_station,capacity,month,season,demand_multiplier,estimated_passengers,occupancy_rate,waitlist_count,crowd_level
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,2,Winter,0.9,498,0.586,0,Low
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,3,Summer,1.25,765,0.9,0,High
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,4,Summer,1.1,646,0.76,0,Moderate
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,5,Summer,1.4,866,1.019,9,High
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,6,Monsoon,0.85,476,0.56,0,Low
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,7,Monsoon,0.8,453,0.534,0,Low
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,8,Monsoon,0.9,540,0.636,0,Low
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,9,Post-Monsoon,1.0,548,0.645,0,Low
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,10,Post-Monsoon,1.3,772,0.909,0,High
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,11,Post-Monsoon,1.45,788,0.928,0,High
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,12,Winter,1.2,670,0.789,0,Moderate
12019,Shatabdi,Howrah Jn,Durgapur,850,1,Winter,1.05,829,0.976,0,High
12019,Shatabdi,Howrah Jn,Durgapur,850,2,Winter,0.9,651,0.766,0,Moderate
12019,Shatabdi,Howrah Jn,Durgapur,850,3,Summer,1.25,929,1.093,47,Overcrowded
12019,Shatabdi,Howrah Jn,Durgapur,850,4,Summer,1.1,859,1.011,5,High
12019,Shatabdi,Howrah Jn,Durgapur,850,5,Summer,1.4,1147,1.35,178,Overcrowded
12019,Shatabdi,Howrah Jn,Durgapur,850,6,Monsoon,0.85,702,0.826,0,Moderate
12019,Shatabdi,Howrah Jn,Durgapur,850,7,Monsoon,0.8,604,0.711,0,Moderate
12019,Shatabdi,Howrah Jn,Durgapur,850,8,Monsoon,0.9,692,0.815,0,Moderate
12019,Shatabdi,Howrah Jn,Durgapur,850,9,Post-Monsoon,1.0,808,0.951,0,High
12019,Shatabdi,Howrah Jn,Durgapur,850,10,Post-Monsoon,1.3,1071,1.261,133,Overcrowded
12019,Shatabdi,Howrah Jn,Durgapur,850,11,Post-Monsoon,1.45,1147,1.35,178,Overcrowded
12019,Shatabdi,Howrah Jn,Durgapur,850,12,Winter,1.2,903,1.063,32,Overcrowded
12020,Shatabdi,Ranchi,Muri,850,1,Winter,1.05,572,0.674,0,Low
12020,Shatabdi,Ranchi,Muri,850,2,Winter,0.9,504,0.593,0,Low
12020,Shatabdi,Ranchi,Muri,850,3,Summer,1.25,736,0.867,0,Moderate
12020,Shatabdi,Ranchi,Muri,850,4,Summer,1.1,694,0.817,0,Moderate
12020,Shatabdi,Ranchi,Muri,850,5,Summer,1.4,871,1.025,12,High
12020,Shatabdi,Ranchi,Muri,850,6,Monsoon,0.85,484,0.57,0,Low
12020,Shatabdi,Ranchi,Muri,850,7,Monsoon,0.8,464,0.547,0,Low
12020,Shatabdi,Ranchi,Muri,850,8,Monsoon,0.9,548,0.645,0,Low
12020,Shatabdi,Ranchi,Muri,850,9,Post-Monsoon,1.0,622,0.732,0,Moderate
12020,Shatabdi,Ranchi,Muri,850,10,Post-Monsoon,1.3,782,0.92,0,High
12020,Shatabdi,Ranchi,Muri,850,11,Post-Monsoon,1.45,822,0.968,0,High
12020,Shatabdi,Ranchi,Muri,850,12,Winter,1.2,745,0.877,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,1,Winter,1.05,1576,0.876,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,2,Winter,0.9,1391,0.773,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,3,Summer,1.25,1976,1.098,105,Overcrowded
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,4,Summer,1.1,1746,0.97,0,High
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,5,Summer,1.4,2077,1.154,166,Overcrowded
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,6,Monsoon,0.85,1195,0.664,0,Low
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,7,Monsoon,0.8,1296,0.72,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,8,Monsoon,0.9,1263,0.702,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,9,Post-Monsoon,1.0,1470,0.817,0,Moderate
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,10,Post-Monsoon,1.3,2086,1.159,171,Overcrowded
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,11,Post-Monsoon,1.45,2109,1.172,185,Overcrowded
12049,Gatimaan Express,Gwalior,Agra Cantt,1800,12,Winter,1.2,1897,1.054,58,Overcrowded
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,1,Winter,1.05,1603,0.891,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,2,Winter,0.9,1405,0.781,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,3,Summer,1.25,1958,1.088,95,Overcrowded
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,4,Summer,1.1,1612,0.896,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,5,Summer,1.4,1944,1.08,86,Overcrowded
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,6,Monsoon,0.85,1360,0.756,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,7,Monsoon,0.8,1108,0.616,0,Low
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,8,Monsoon,0.9,1306,0.726,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,9,Post-Monsoon,1.0,1585,0.881,0,Moderate
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,10,Post-Monsoon,1.3,1868,1.038,41,High
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,11,Post-Monsoon,1.45,2264,1.258,278,Overcrowded
12050,Gatimaan Express,H Nizamuddin,Agra Cantt,1800,12,Winter,1.2,1648,0.916,0,High
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,1,Winter,1.05,1138,0.759,0,Moderate
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,2,Winter,0.9,937,0.625,0,Low
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,3,Summer,1.25,1356,0.904,0,High
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,4,Summer,1.1,1224,0.816,0,Moderate
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,5,Summer,1.4,1554,1.036,32,High
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,6,Monsoon,0.85,921,0.614,0,Low
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,7,Monsoon,0.8,780,0.52,0,Low
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,8,Monsoon,0.9,906,0.604,0,Low
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,9,Post-Monsoon,1.0,1042,0.695,0,Low
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,10,Post-Monsoon,1.3,1327,0.885,0,Moderate
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,11,Post-Monsoon,1.45,1531,1.021,18,High
12137,Punjab Mail,C Shivaji Term Mumbai,Dadar,1500,12,Winter,1.2,1327,0.885,0,Moderate
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,1,Winter,1.05,1044,0.696,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,2,Winter,0.9,933,0.622,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,3,Summer,1.25,1329,0.886,0,Moderate
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,4,Summer,1.1,1167,0.778,0,Moderate
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,5,Summer,1.4,1447,0.965,0,High
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,6,Monsoon,0.85,792,0.528,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,7,Monsoon,0.8,769,0.513,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,8,Monsoon,0.9,897,0.598,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,9,Post-Monsoon,1.0,975,0.65,0,Low
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,10,Post-Monsoon,1.3,1311,0.874,0,Moderate
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,11,Post-Monsoon,1.45,1533,1.022,19,High
12138,Punjab Mail,Firozpur Cant,Faridkot,1500,12,Winter,1.2,1273,0.849,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,1,Winter,1.05,1492,0.829,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,2,Winter,0.9,1377,0.765,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,3,Summer,1.25,1760,0.978,0,High
12163,Chennai Express,Lonavala,Pune Jn,1800,4,Summer,1.1,1702,0.946,0,High
12163,Chennai Express,Lonavala,Pune Jn,1800,5,Summer,1.4,2068,1.149,160,Overcrowded
12163,Chennai Express,Lonavala,Pune Jn,1800,6,Monsoon,0.85,1270,0.706,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,7,Monsoon,0.8,1080,0.6,0,Low
12163,Chennai Express,Lonavala,Pune Jn,1800,8,Monsoon,0.9,1342,0.746,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,9,Post-Monsoon,1.0,1373,0.763,0,Moderate
12163,Chennai Express,Lonavala,Pune Jn,1800,10,Post-Monsoon,1.3,1767,0.982,0,High
12163,Chennai Express,Lonavala,Pune Jn,1800,11,Post-Monsoon,1.45,2095,1.164,177,Overcrowded
12163,Chennai Express,Lonavala,Pune Jn,1800,12,Winter,1.2,1830,1.017,18,High
12164,Chennai Express,Chennai Central,Arakkonam,1800,1,Winter,1.05,1584,0.88,0,Moderate
12164,Chennai Express,Chennai Central,Arakkonam,1800,2,Winter,0.9,1249,0.694,0,Low
12164,Chennai Express,Chennai Central,Arakkonam,1800,3,Summer,1.25,1906,1.059,63,Overcrowded
12164,Chennai Express,Chennai Central,Arakkonam,1800,4,Summer,1.1,1602,0.89,0,Moderate
12164,Chennai Express,Chennai Central,Arakkonam,1800,5,Summer,1.4,2061,1.145,156,Overcrowded
12164,Chennai Express,Chennai Central,Arakkonam,1800,6,Monsoon,0.85,1132,0.629,0,Low
12164,Chennai Express,Chennai Central,Arakkonam,1800,7,Monsoon,0.8,1175,0.653,0,Low
12164,Chennai Express,Chennai Central,Arakkonam,1800,8,Monsoon,0.9,1218,0.677,0,Low
12164,Chennai Express,Chennai Central,Arakkonam,1800,9,Post-Monsoon,1.0,1341,0.745,0,Moderate
12164,Chennai Express,Chennai Central,Arakkonam,1800,10,Post-Monsoon,1.3,1852,1.029,31,High
12164,Chennai Express,Chennai Central,Arakkonam,1800,11,Post-Monsoon,1.45,2179,1.211,227,Overcrowded
12164,Chennai Express,Chennai Central,Arakkonam,1800,12,Winter,1.2,1681,0.934,0,High
12201,Garib Rath,Thane,Panvel,1500,1,Winter,1.05,1153,0.769,0,Moderate
12201,Garib Rath,Thane,Panvel,1500,2,Winter,0.9,1092,0.728,0,Moderate
12201,Garib Rath,Thane,Panvel,1500,3,Summer,1.25,1536,1.024,21,High
12201,Garib Rath,Thane,Panvel,1500,4,Summer,1.1,1357,0.905,0,High
12201,Garib Rath,Thane,Panvel,1500,5,Summer,1.4,1590,1.06,54,Overcrowded
12201,Garib Rath,Thane,Panvel,1500,6,Monsoon,0.85,978,0.652,0,Low
12201,Garib Rath,Thane,Panvel,1500,7,Monsoon,0.8,862,0.575,0,Low
12201,Garib Rath,Thane,Panvel,1500,8,Monsoon,0.9,1090,0.727,0,Moderate
12201,Garib Rath,Thane,Panvel,1500,9,Post-Monsoon,1.0,1075,0.717,0,Moderate
12201,Garib Rath,Thane,Panvel,1500,10,Post-Monsoon,1.3,1561,1.041,36,High
12201,Garib Rath,Thane,Panvel,1500,11,Post-Monsoon,1.45,1594,1.063,56,Overcrowded
12201,Garib Rath,Thane,Panvel,1500,12,Winter,1.2,1317,0.878,0,Moderate
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,1,Winter,1.05,1177,0.785,0,Moderate
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,2,Winter,0.9,1021,0.681,0,Low
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,3,Summer,1.25,1425,0.95,0,High
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,4,Summer,1.1,1155,0.77,0,Moderate
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,5,Summer,1.4,1488,0.992,0,High
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,6,Monsoon,0.85,845,0.564,0,Low
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,7,Monsoon,0.8,897,0.598,0,Low
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,8,Monsoon,0.9,894,0.596,0,Low
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,9,Post-Monsoon,1.0,1110,0.74,0,Moderate
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,10,Post-Monsoon,1.3,1321,0.881,0,Moderate
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,11,Post-Monsoon,1.45,1470,0.98,0,High
12202,Garib Rath,Trivandrum North,Kollam Jn,1500,12,Winter,1.2,1182,0.788,0,Moderate
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,1,Winter,1.05,767,0.698,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,2,Winter,0.9,760,0.691,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,3,Summer,1.25,911,0.829,0,Moderate
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,4,Summer,1.1,836,0.76,0,Moderate
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,5,Summer,1.4,1061,0.965,0,High
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,6,Monsoon,0.85,678,0.617,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,7,Monsoon,0.8,645,0.587,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,8,Monsoon,0.9,672,0.611,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,9,Post-Monsoon,1.0,757,0.689,0,Low
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,10,Post-Monsoon,1.3,1085,0.987,0,High
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,11,Post-Monsoon,1.45,1133,1.03,19,High
12235,Duronto Express,Madhupur Jn,Jasidih Jn,1100,12,Winter,1.2,920,0.837,0,Moderate
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,1,Winter,1.05,918,0.835,0,Moderate
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,2,Winter,0.9,679,0.618,0,Low
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,3,Summer,1.25,983,0.894,0,Moderate
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,4,Summer,1.1,863,0.785,0,Moderate
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,5,Summer,1.4,1157,1.052,34,Overcrowded
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,6,Monsoon,0.85,710,0.646,0,Low
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,7,Monsoon,0.8,619,0.563,0,Low
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,8,Monsoon,0.9,706,0.642,0,Low
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,9,Post-Monsoon,1.0,864,0.786,0,Moderate
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,10,Post-Monsoon,1.3,1051,0.956,0,High
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,11,Post-Monsoon,1.45,1151,1.047,31,High
12236,Duronto Express,Anand Vihar Trm,Kanpur Central,1100,12,Winter,1.2,1004,0.913,0,High
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,1,Winter,1.05,1076,0.979,0,High
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,2,Winter,0.9,906,0.824,0,Moderate
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,3,Summer,1.25,1326,1.206,135,Overcrowded
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,4,Summer,1.1,1135,1.032,21,High
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,5,Summer,1.4,1375,1.25,165,Overcrowded
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,6,Monsoon,0.85,894,0.813,0,Moderate
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,7,Monsoon,0.8,757,0.689,0,Low
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,8,Monsoon,0.9,891,0.81,0,Moderate
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,9,Post-Monsoon,1.0,1031,0.938,0,High
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,10,Post-Monsoon,1.3,1329,1.209,137,Overcrowded
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,11,Post-Monsoon,1.45,1383,1.258,170,Overcrowded
12245,Duronto Express,Howrah Jn,Bhubaneswar,1100,12,Winter,1.2,1320,1.2,131,Overcrowded
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,1,Winter,1.05,864,0.786,0,Moderate
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,2,Winter,0.9,779,0.709,0,Moderate
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,3,Summer,1.25,1053,0.958,0,High
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,4,Summer,1.1,883,0.803,0,Moderate
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,5,Summer,1.4,1203,1.094,62,Overcrowded
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,6,Monsoon,0.85,657,0.598,0,Low
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,7,Monsoon,0.8,646,0.588,0,Low
12246,Duronto Express,Smvt Bengaluru,Renigunta Jn,1100,8,Monsoon,0.9,757,0.689,0,Low
